step,time_s,component,inventory_mol_m2,cumulative_net_in_mol_m2,balance_error_mol_m2,chemistry_error_mol_m3,water_relative_mismatch
22,22.0,Zz,0.0,0.0,0.0,1.0302869668521453e-08,3.7572021522880306e-06
23,23.0,Cl,14.758321356301714,-4.481347610155815e-07,6.544132769471263e-14,1.0587086762825493e-08,3.757202128973347e-06
23,23.0,H,2187.459595263637,-9.351639832111924e-05,1.3953288191211922e-11,1.0587086762825493e-08,3.757202128973347e-06
23,23.0,Na,14.758321356301714,-4.4813476098994645e-07,6.541569266608045e-14,1.0587086762825493e-08,3.757202128973347e-06
23,23.0,O,1093.72979763182,-4.675819915540332e-05,8.335729845363338e-12,1.0587086762825493e-08,3.757202128973347e-06
23,23.0,Zz,0.0,0.0,0.0,1.0587086762825493e-08,3.757202128973347e-06
24,24.0,Cl,14.758321346195364,-4.5824109528725816e-07,5.017798260883958e-14,1.0857093002414331e-08,3.757202154952566e-06
24,24.0,H,2187.4595931546564,-9.562537985362381e-05,1.506082865571686e-11,1.0857093002414331e-08,3.757202154952566e-06
24,24.0,Na,14.758321346195366,-4.582410952707785e-07,5.193785978697629e-14,1.0857093002414331e-08,3.757202154952566e-06
24,24.0,O,1093.7297965773303,-4.7812689921421224e-05,9.344013051097635e-12,1.0857093002414331e-08,3.757202154952566e-06
24,24.0,Zz,0.0,0.0,0.0,1.0857093002414331e-08,3.757202154952566e-06
25,25.0,Cl,14.75832133630833,-4.681281492583869e-07,6.895855244002863e-14,1.0629719326971099e-08,3.7572021445164694e-06
25,25.0,H,2187.4595910914354,-9.768860219539624e-05,1.6384567286904447e-11,1.0629719326971099e-08,3.7572021445164694e-06
25,25.0,Na,14.758321336308331,-4.681281492419072e-07,7.071842961816534e-14,1.0629719326971099e-08,3.7572021445164694e-06
25,25.0,O,1093.729795545719,-4.884430109207306e-05,9.323526962957095e-12,1.0629719326971099e-08,3.7572021445164694e-06
25,25.0,Zz,0.0,0.0,0.0,1.0629719326971099e-08,3.7572021445164694e-06
26,26.0,Cl,14.758321326626776,-4.778096969083556e-07,6.327171675130826e-14,1.0629719326971099e-08,3.7572021283072132e-06
26,26.0,H,2187.4595890710966,-9.970893982294409e-05,1.5214522580708247e-11,1.0629719326971099e-08,3.7572021283072132e-06
26,26.0,Na,14.758321326626778,-4.778096968845517e-07,6.502426963555006e-14,1.0629719326971099e-08,3.7572021283072132e-06
26,26.0,O,1093.729794535551,-4.985446990561261e-05,1.010251228511375e-11,1.0629719326971099e-08,3.7572021283072132e-06
26,26.0,Zz,0.0,0.0,0.0,1.0629719326971099e-08,3.7572021283072132e-06
27,27.0,Cl,14.758321317138357,-4.872981163842884e-07,6.380820889125341e-14,1.0629719326971099e-08,3.7572021265308564e-06
27,27.0,H,2187.4595870910616,-0.00010168897557708282,1.5974030461557952e-11,1.0629719326971099e-08,3.7572021265308564e-06
27,27.0,Na,14.758321317138359,-4.87298116349498e-07,6.554977533465285e-14,1.0629719326971099e-08,3.7572021265308564e-06
27,27.0,O,1093.7297935455324,-5.0844487782447595e-05,9.345163470917805e-12,1.0629719326971099e-08,3.7572021265308564e-06
27,27.0,Zz,0.0,0.0,0.0,1.0629719326971099e-08,3.7572021265308564e-06
28,28.0,Cl,14.758321307831897,-4.966045821391732e-07,6.99601401539762e-14,1.0615508472255897e-08,3.757202154286432e-06
