time_s,x_m,phi,De_m2_s,pH,Cl_c_mol_m3_water,Cl_total_mol_m3_bulk,H_c_mol_m3_water,H_total_mol_m3_bulk,Na_c_mol_m3_water,Na_total_mol_m3_bulk,O_c_mol_m3_water,O_total_mol_m3_bulk,Zz_c_mol_m3_water,Zz_total_mol_m3_bulk
0.0,0.00145,1.0,1.6106286393345216e-09,7.007852786302843,981.277230443145,981.277230443145,108938.20569302792,108938.20569302313,981.277230443145,981.277230443145,54469.10284651397,54469.10284651167,-1.793322909333754e-12,0.0
0.0,0.0015500000000000002,1.0,1.6106286393345216e-09,7.007852786302843,981.277230443145,981.277230443145,108938.20569302792,108938.20569302313,981.277230443145,981.277230443145,54469.10284651397,54469.10284651167,-1.793322909333754e-12,0.0
0.0,0.00165,1.0,1.6106286393345216e-09,7.007852786302843,981.277230443145,981.277230443145,108938.20569302792,108938.20569302313,981.277230443145,981.277230443145,54469.10284651397,54469.10284651167,-1.793322909333754e-12,0.0
0.0,0.0017500000000000003,1.0,1.6106286393345216e-09,7.007852786302843,981.277230443145,981.277230443145,108938.20569302792,108938.20569302313,981.277230443145,981.277230443145,54469.10284651397,54469.10284651167,-1.793322909333754e-12,0.0
0.0,0.00185,1.0,1.6106286393345216e-09,7.007852786302843,981.277230443145,981.277230443145,108938.20569302792,108938.20569302313,981.277230443145,981.277230443145,54469.10284651397,54469.10284651167,-1.793322909333754e-12,0.0
0.0,0.00195,1.0,1.6106286393345216e-09,7.007852786302843,981.277230443145,981.277230443145,108938.20569302792,108938.20569302313,981.277230443145,981.277230443145,54469.10284651397,54469.10284651167,-1.793322909333754e-12,0.0
0.0,0.00205,1.0,1.6106286393345216e-09,7.007852786302843,981.277230443145,981.277230443145,108938.20569302792,108938.20569302313,981.277230443145,981.277230443145,54469.10284651397,54469.10284651167,-1.793322909333754e-12,0.0
0.0,0.00215,1.0,1.6106286393345216e-09,7.007852786302843,981.277230443145,981.277230443145,108938.20569302792,108938.20569302313,981.277230443145,981.277230443145,54469.10284651397,54469.10284651167,-1.793322909333754e-12,0.0
0.0,0.0022500000000000003,1.0,1.6106286393345216e-09,7.007852786302843,981.277230443145,981.277230443145,108938.20569302792,108938.20569302313,981.277230443145,981.277230443145,54469.10284651397,54469.10284651167,-1.793322909333754e-12,0.0
0.0,0.00235,1.0,1.6106286393345216e-09,7.007852786302843,981.277230443145,981.277230443145,108938.20569302792,108938.20569302313,981.277230443145,981.277230443145,54469.10284651397,54469.10284651167,-1.793322909333754e-12,0.0
0.0,0.00245,1.0,1.6106286393345216e-09,7.007852786302843,981.277230443145,981.277230443145,108938.20569302792,108938.20569302313,981.277230443145,981.277230443145,54469.10284651397,54469.10284651167,-1.793322909333754e-12,0.0
0.0,0.00255,1.0,1.6106286393345216e-09,7.007852786302843,981.277230443145,981.277230443145,108938.20569302792,108938.20569302313,981.277230443145,981.277230443145,54469.10284651397,54469.10284651167,-1.793322909333754e-12,0.0
0.0,0.0026500000000000004,1.0,1.6106286393345216e-09,7.007852786302843,981.277230443145,981.277230443145,108938.20569302792,108938.20569302313,981.277230443145,981.277230443145,54469.10284651397,54469.10284651167,-1.793322909333754e-12,0.0
