x,c_Ca(CO3)@,c_Ca+2,c_Mg(CO3)@,c_Mg+2,c_CO3-2,c_HCO3-,c_Cl-,c_OH-,c_H+,pH,Calcite_mol_m3,Dolomite-dis_mol_m3
0.215,0.00553754596676726,0.1598717423669203,0.005292727063697577,0.2685540031594119,0.02851955074492894,0.07484124224576447,0.6501967922627316,0.07477449944960021,1.4439528989566689e-07,9.857088756113113,0.2048078087399453,0.0
0.21500000000000002,0.005531333063682526,0.15991346957306868,0.005293390132125679,0.2686378222801997,0.028549816855911944,0.074833259641933,0.6504033360288192,0.07476649853851233,1.442145515920728e-07,9.857057921485218,0.20478112020473999,0.0
0.21999999999999997,0.005533580506164091,0.1527151128389017,0.004726205316775218,0.2290990697450752,0.029356479390124472,0.07606731609533937,0.5528314318506681,0.07601679986348582,1.4142178820240951e-07,9.865218433282664,0.20478107084994934,0.0
0.22,0.005533159398649081,0.15268515176278186,0.004724162960588505,0.22894699835300453,0.02936738723537569,0.07607564784186785,0.5524287290911698,0.07602529019398992,1.41366206345928e-07,9.865262842461636,0.20477919166148126,0.0
0.22000000000000003,0.005533601418214058,0.15268365596825378,0.004725423500186619,0.22902532269336365,0.029354370955351913,0.076069762425718,0.552620198238587,0.07601939619331897,1.414450930003596e-07,9.865247762222793,0.20478244006388147,0.0
0.22499999999999998,0.005534542078551127,0.14636358247023362,0.004148806847728325,0.1927282737467816,0.03013356497459646,0.07722417720076451,0.46350585366228103,0.07718669034851271,1.3872672076162057e-07,9.872706870128196,0.20473768797404912,0.0
0.225,0.005533865817056222,0.1463171526587928,0.004146183183682274,0.19255917974041692,0.030134942665707154,0.07722656598431671,0.4630671385792632,0.07718921361963148,1.3871620625499976e-07,9.872750672266307,0.2047547441712164,0.0
0.22500000000000003,0.005534592368244788,0.14633991246176398,0.004147431315422312,0.19262951870425854,0.03013937858767107,0.07723040270326118,0.46323679252956707,0.07719304862878307,1.3870490835653653e-07,9.872741489321754,0.20472508706997977,0.0
0.22999999999999998,0.005533380527533003,0.14080765146225652,0.0035784555424739177,0.15993870809206245,0.030822917321115896,0.07825534097057191,0.3833636664442942,0.07822801341481923,1.3636327923818974e-07,9.879402967392778,0.20472534901231274,0.0
0.23,0.005533373616311385,0.14077018595488153,0.0035754069261213035,0.1597608484060203,0.030827414694084995,0.07826263952372728,0.3829093129896769,0.07823542317143303,1.363512035304411e-07,9.879449815663907,0.2047330032421929,0.0
0.23000000000000004,0.005533373641544107,0.14077939340563417,0.003576534077245132,0.1598212604383661,0.03082671051332727,0.0782611120671112,0.38305301223076405,0.07823389871653422,1.3635306343884022e-07,9.87943941593257,0.20474462043200814,0.0
0.23499999999999996,0.005532593543444646,0.13605435433724256,0.0030315904330774825,0.1309227660955281,0.03143616834963691,0.07916553375694435,0.3127705161830652,0.07914598847759938,1.3425134131586194e-07,9.885275713551037,0.20473065695701775,0.0
0.235,0.005532504328453694,0.1360375440657633,0.003028145439309453,0.13074390674640696,0.03145854116237448,0.07917323785161409,0.31231893330086735,0.07915378227081526,1.3412370522430187e-07,9.885319213655887,0.20469825100375055,0.0
0.23500000000000001,0.005532614521656706,0.13602794872203633,0.003029211929771608,0.13079332868480925,0.03144180884859214,0.0791717432274616,0.3124350345669352,0.07915229355231493,1.3423020486064067e-07,9.885312954965997,0.20471040122560658,0.0
0.23999999999999996,0.005531836935260786,0.13203810784908315,0.0025231042742612196,0.10570834713516744,0.031958214505297844,0.07994560101955377,0.25169909682946273,0.07993191555176446,1.3244288368313286e-07,9.890318077069029,0.20470508644885954,0.0
0.24,0.005531825188525907,0.1320058982891508,0.0025198054672734053,0.10553465615820384,0.03196234876469574,0.07995221337746408,0.25126573156629994,0.07993859885277199,1.3243121809778945e-07,9.890360144318018,0.20470808142419367,0.0
0.24000000000000002,0.0055318268235880225,0.13201074552770048,0.002520639329883483,0.1055731931958172,0.0319620269907786,0.07995140842383519,0.25135474645094796,0.07993780102293417,1.3243222641446222e-07,9.89035466221925,0.20470609085964708,0.0
0.24499999999999997,0.0055313946422322555,0.12869410184956326,0.0020607744348635055,0.08418662053846436,0.0323894389587098,0.08060088805943277,0.19979026775428943,0.0805915419828731,1.3093795960835046e-07,9.894561425964852,0.20470316645286935,0.0
0.245,0.005531389523102434,0.1286646171630924,0.002056404303309995,0.08402464900957254,0.032393367024598815,0.08060709311811384,0.19938703419742143,0.08059780190690385,1.3092630153172318e-07,9.89459948928015,0.20470647946483522,0.0
0.24500000000000002,0.00553138956758061,0.12866758261460903,0.002056869178451094,0.08405312187358872,0.032393202633882436,0.0806066397835973,0.19945113889135377,0.08059735596072215,1.3092704659582714e-07,9.894596072212714,0.20470683116207417,0.0
0.24999999999999997,0.005531241404506153,0.1259558609057145,0.0016539883999635943,0.06613201717237373,0.0327386151544974,0.08113890550096711,0.1564270284198881,0.08113272162040643,1.296940800213813e-07,9.89806143799478,0.20471785937409864,0.0
